Angle	Sine
--------------
0	0.0000
2	0.0350
4	0.0699
6	0.1047
8	0.1394
10	0.1739
12	0.2082
14	0.2422
16	0.2760
18	0.3094
20	0.3425
22	0.3751
24	0.4073
26	0.4389
28	0.4701
30	0.5006
32	0.5306
34	0.5599
36	0.5885
38	0.6164
40	0.6435
42	0.6699
44	0.6954
46	0.7201
48	0.7439
50	0.7668
52	0.7888
54	0.8098
56	0.8298
58	0.8488
60	0.8667
62	0.8836
64	0.8995
66	0.9142
68	0.9278
70	0.9403
72	0.9516
74	0.9618
76	0.9707
78	0.9785
80	0.9851
82	0.9905
84	0.9947
86	0.9977
88	0.9995
90	1.0000
